constituency_name,country/region,election,majority_proportion,winner,constituency_id,boundary_set,election_type,con_share,lab_share,lib_share,natSW_share,previous_election
Sheffield Central,Yorkshire and The Humber,2024,0.5209885859824545,lab,E14001467,2023-current,actual,0.07354652076848096,0.5209885859824545,0.06835833097506525,0.0,2019_notional
Sheffield Hallam,Yorkshire and The Humber,2024,0.46268483168930835,lab,E14001468,2023-current,actual,0.12024960756574485,0.46268483168930835,0.30398635685354936,0.0,2019_notional
Sheffield Heeley,Yorkshire and The Humber,2024,0.5522030900483795,lab,E14001469,2023-current,actual,0.1363470842220257,0.5522030900483795,0.1004785933517141,0.0,2019_notional
Sheffield South East,Yorkshire and The Humber,2024,0.52304939755668,lab,E14001470,2023-current,actual,0.1747784518185122,0.52304939755668,0.09563612982583657,0.0,2019_notional
Sherwood Forest,East Midlands,2024,0.3871968762844225,lab,E14001471,2023-current,actual,0.2753390875462392,0.3871968762844225,0.03777229757501028,0.0,2019_notional
Shipley,Yorkshire and The Humber,2024,0.4500341593689833,lab,E14001472,2023-current,actual,0.2719292797548806,0.4500341593689833,0.027762250791876282,0.0,2019_notional
Shrewsbury,West Midlands,2024,0.4447633824670287,lab,E14001473,2023-current,actual,0.2245345228859581,0.4447633824670287,0.13037238169123352,0.0,2019_notional
Sittingbourne and Sheppey,South East,2024,0.29072149860968827,lab,E14001474,2023-current,actual,0.2820625396360798,0.29072149860968827,0.032221083955314894,0.0,2019_notional
Skipton and Ripon,Yorkshire and The Humber,2024,0.35234798877455564,con,E14001475,2023-current,actual,0.35234798877455564,0.3214780168381665,0.07846585594013096,0.0,2019_notional
Sleaford and North Hykeham,East Midlands,2024,0.35721198393905074,con,E14001476,2023-current,actual,0.35721198393905074,0.2677236693091733,0.046617934726655,0.0,2019_notional
Slough,South East,2024,0.33887887610333195,lab,E14001477,2023-current,actual,0.1723046351494986,0.33887887610333195,0.04759924210915477,0.0,2019_notional
Smethwick,West Midlands,2024,0.48007973800370213,lab,E14001478,2023-current,actual,0.12946034458208744,0.48007973800370213,0.02899045991741421,0.0,2019_notional
Solihull West and Shirley,West Midlands,2024,0.3473771785737142,con,E14001479,2023-current,actual,0.3473771785737142,0.2488213836209655,0.16886746165496938,0.0,2019_notional
South Basildon and East Thurrock,East of England,2024,0.30792181850362843,oth,E14001480,2023-current,actual,0.25687122303977344,0.3054438797441149,0.027080330728969128,0.0,2019_notional
South Cambridgeshire,East of England,2024,0.4683246788740093,lib,E14001481,2023-current,actual,0.2744465701011205,0.11125079712125353,0.4683246788740093,0.0,2019_notional
South Cotswolds,South West,2024,0.4391340103658653,lib,E14001482,2023-current,actual,0.34402432727064086,0.07539158873142464,0.4391340103658653,0.0,2019_notional
South Derbyshire,East Midlands,2024,0.3877385923869078,lab,E14001483,2023-current,actual,0.2966088724664932,0.3877385923869078,0.04665806677307213,0.0,2019_notional
South Devon,South West,2024,0.459962452044731,lib,E14001484,2023-current,actual,0.31452534486980654,0.06256632111664354,0.459962452044731,0.0,2019_notional
South Dorset,South West,2024,0.3193303016089891,lab,E14001485,2023-current,actual,0.297958684258825,0.3193303016089891,0.16348879417582643,0.0,2019_notional
South East Cornwall,South West,2024,0.317940185853995,lab,E14001486,2023-current,actual,0.27916649758552126,0.317940185853995,0.16808018504240554,0.0,2019_notional
